catalog,variant,fn,severity_label,severity_value,mainshock_idx,mainshock_mag,mc_ref,t_c,mainshock_anchor_lost,n_naive_fit,n_stai_fit,naive_p,naive_c,naive_K,naive_degenerate,stai_p,stai_c,stai_K,stai_degenerate,naive_pred_n,stai_pred_n,actual_forecast_n,naive_abs_err,stai_abs_err,naive_rel_err,stai_rel_err,t_d,decision,hard_override_fired,a_score,a3_score
kahramanmaras_2023,clean_original,none,none,0.0,487,7.8,4.299999999999999,0.0464158883361279,False,264,244,1.7886087883601798,0.5623413251903491,210.75640773050563,False,1.934907044801166,0.7498942093324559,310.4417720578754,False,30.478283657698505,30.299863256061855,29,1.4782836576985048,1.2998632560618582,0.0509752985413277,0.0448228708986847,0.7159594318747848,CONDITIONAL,False,0.679805355986672,0.9022981297926892
kahramanmaras_2023,coordinate_jitter_low,coordinate_jitter,low,0.2,487,7.8,4.299999999999999,0.0464158883361279,False,264,244,1.7886087883601798,0.5623413251903491,210.75640773050563,False,1.934907044801166,0.7498942093324559,310.4417720578754,False,30.478283657698505,30.299863256061855,29,1.4782836576985048,1.2998632560618582,0.0509752985413277,0.0448228708986847,0.7133807352520689,CONDITIONAL,False,0.6828726797418903,0.9022981297926892
kahramanmaras_2023,coordinate_jitter_med,coordinate_jitter,med,0.45,487,7.8,4.299999999999999,0.0464158883361279,False,264,244,1.7886087883601798,0.5623413251903491,210.75640773050563,False,1.934907044801166,0.7498942093324559,310.4417720578754,False,30.478283657698505,30.299863256061855,29,1.4782836576985048,1.2998632560618582,0.0509752985413277,0.0448228708986847,0.7167884505860328,CONDITIONAL,False,0.6866380079309621,0.9022981297926892
kahramanmaras_2023,coordinate_jitter_high,coordinate_jitter,high,0.8,487,7.8,4.299999999999999,0.0464158883361279,False,264,244,1.7886087883601798,0.5623413251903491,210.75640773050563,False,1.934907044801166,0.7498942093324559,310.4417720578754,False,30.478283657698505,30.299863256061855,29,1.4782836576985048,1.2998632560618582,0.0509752985413277,0.0448228708986847,0.703260376847666,CONDITIONAL,False,0.6672825601324832,0.9022981297926892
kahramanmaras_2023,inject_duplicates_low,inject_duplicates,low,0.2,487,7.8,4.299999999999999,0.0464158883361279,False,328,305,2.0388601298258644,0.7498942093324559,413.5480013765069,False,2.028734909310839,0.7498942093324559,432.22046673148833,False,31.198547668783775,33.4342053039562,29,2.198547668783778,4.4342053039561975,0.0758119885787509,0.1529036311709033,0.6788773640738585,CONDITIONAL,False,0.6758552059784362,0.8994001869722767
kahramanmaras_2023,inject_duplicates_med,inject_duplicates,med,0.45,487,7.8,4.299999999999999,0.0464158883361279,False,369,341,2.077232205183289,0.7498942093324559,475.831418313828,False,2.0836732282524126,0.7498942093324559,511.5418277979709,False,32.64926674099787,34.54561996040993,29,3.6492667409978665,5.54561996040993,0.1258367841723402,0.1912282744968941,0.664179346603319,CONDITIONAL,False,0.6755678235811163,0.8989801996915829
kahramanmaras_2023,inject_duplicates_high,inject_duplicates,high,0.8,487,7.8,4.299999999999999,0.0464158883361279,False,427,395,2.045258252029152,0.7498942093324559,532.0013255481882,False,2.0609062711926844,0.7498942093324559,577.2303194562651,False,39.504791791478624,41.236991882991816,29,10.504791791478624,12.236991882991816,0.3622341997061594,0.4219652373445454,0.6495334157261103,CONDITIONAL,False,0.6756360345448864,0.9015699441500352
kahramanmaras_2023,inject_missingness_low,inject_missingness,low,0.2,487,7.8,4.299999999999999,0.0464158883361279,False,172,158,1.8245980736596985,0.5623413251903491,136.99170877519182,False,1.9071202825160145,0.5623413251903491,152.57920433316062,False,18.123136917373284,16.46459180130207,29,10.876863082626716,12.53540819869793,0.3750642442285075,0.4322554551275148,0.7099184999075862,CONDITIONAL,False,0.6769415779946607,0.8877877632783002
kahramanmaras_2023,inject_missingness_med,inject_missingness,med,0.45,487,7.8,4.299999999999999,0.0464158883361279,False,111,100,1.7518803125791995,0.4216965034285822,67.29967344376736,False,2.089680215659756,0.7498942093324559,131.81623219861575,False,10.893636866594512,8.770798766947898,29,18.106363133405488,20.229201233052105,0.6243573494277754,0.6975586632086932,0.6958139805258927,CONDITIONAL,False,0.6615634083012392,0.871501316893649
kahramanmaras_2023,inject_missingness_high,inject_missingness,high,0.8,487,7.8,4.299999999999999,0.0464158883361279,False,53,49,1.496830359598189,0.3162277660168379,24.915778959325724,False,2.119187239022735,0.7498942093324559,73.93641006853821,False,7.6899962279366205,4.574100969193859,29,21.31000377206338,24.425899030806143,0.7348277162780475,0.8422723803726256,0.6635596297735181,CONDITIONAL,False,0.5984261328808379,0.7431136575186994
