corruption_type,n,ADMIT_k,ADMIT_rate,CONDITIONAL_k,CONDITIONAL_rate,REJECT_k,REJECT_rate
coordinate_jitter,30,5,0.16666666666666666,25,0.8333333333333334,0,0.0
depth_implausible,27,1,0.037037037037037035,0,0.0,26,0.9629629629629629
inject_duplicates,29,1,0.034482758620689655,27,0.9310344827586207,1,0.034482758620689655
inject_missingness,29,2,0.06896551724137931,27,0.9310344827586207,0,0.0
magnitude_gr_violation,30,7,0.23333333333333334,23,0.7666666666666667,0,0.0
timestamp_collision,28,3,0.10714285714285714,25,0.8928571428571429,0,0.0
