variant,label,false_reject_rate,false_reject_k,false_admit_rate,false_admit_k,not_rejected_bad_rate,n_admit,n_conditional,n_reject
blended_current,"Current production weights (AHP x EWM blend, n=968)  [GATED -- real production]",0.0,0,0.006122448979591836,3,0.9448979591836735,35,936,27
ahp_only,"AHP-only prior (single-analyst pairwise comparison, no data)  [ungated -- threshold logic only]",0.0,0,0.10204081632653061,50,0.9469387755102041,332,640,26
ewm_only,"EWM-only (pure entropy/variance weighting, no AHP prior; P9=0)  [ungated -- threshold logic only]",0.0,0,0.05714285714285714,28,0.9469387755102041,191,781,26
equal_weight,"Equal-weight baseline (0.25 per axis, uniform within axis)  [ungated -- threshold logic only]",0.0,0,0.38571428571428573,189,0.9469387755102041,584,388,26
a_only,"A-only (axis weight = 1.0 on A(D), 0 elsewhere; within-axis weights unchanged from current blend)  [ungated -- threshold logic only]",0.031496062992125984,16,0.0326530612244898,16,0.726530612244898,82,766,150
p_only,"P-only (axis weight = 1.0 on P(D), 0 elsewhere; within-axis weights unchanged from current blend)  [ungated -- threshold logic only]",0.0,0,0.5816326530612245,285,0.8857142857142857,778,164,56
c_only,"C-only (axis weight = 1.0 on C(D), 0 elsewhere; within-axis weights unchanged from current blend)  [ungated -- threshold logic only]",0.0,0,0.40408163265306124,198,0.9469387755102041,298,674,26
i_only,"I-only (axis weight = 1.0 on I(D), 0 elsewhere; within-axis weights unchanged from current blend)  [ungated -- threshold logic only]",0.005905511811023622,3,0.6183673469387755,303,0.9387755102040817,661,304,33
