group,n,ADMIT_k,ADMIT_rate,ADMIT_ci_lo,ADMIT_ci_hi,CONDITIONAL_k,CONDITIONAL_rate,CONDITIONAL_ci_lo,CONDITIONAL_ci_hi,REJECT_k,REJECT_rate,REJECT_ci_lo,REJECT_ci_hi,hard_override_k,hard_override_rate,hard_override_ci_lo,hard_override_ci_hi
known_good,508,98,0.19291338582677164,0.16095607339307846,0.22948034287320387,410,0.8070866141732284,0.7705196571267962,0.8390439266069215,0,0.0,0.0,0.007505446997664902,0,0.0,0.0,0.007505446997664902
corrupted_real,173,19,0.10982658959537572,0.07144501422061347,0.16515994750784863,127,0.7341040462427746,0.6637026079898832,0.7943344149730397,27,0.15606936416184972,0.1095310149058899,0.21755039580290264,26,0.15028901734104047,0.10467090078416763,0.2111009538020836
fabricated,287,0,0.0,0.0,0.01320856438693777,287,1.0,0.9867914356130623,1.0,0,0.0,0.0,0.01320856438693777,0,0.0,0.0,0.01320856438693777
held_out_adversarial,30,0,0.0,0.0,0.113517091390478,30,1.0,0.8864829086095221,1.0,0,0.0,0.0,0.113517091390478,0,0.0,0.0,0.113517091390478
