arm,description,false_reject_rate,false_reject_k,false_admit_rate,false_admit_k,not_rejected_bad_rate,n_admit,n_conditional,n_reject
full_two_stage,"Hard-override gate (Stage 1) + composite score + safety gates (Stage 2), as in production [GATED]",0.0,0,0.006122448979591836,3,0.9448979591836735,35,936,27
weighted_sum_only,Composite score + Stage-2 safety gates -- hard-override gate never consulted [GATED],0.0,0,0.006122448979591836,3,0.9979591836734694,35,962,1
hard_override_only,"Binary: REJECT if Stage-1 gate fires, else ADMIT -- composite score never consulted (no CONDITIONAL zone exists in this arm by construction)",0.0,0,0.9469387755102041,464,0.9469387755102041,972,0,26
